ID,North Window,South Window,North Blind,Heating SP,Cooling SP
417,1,1,0,18,28
418,1,1,0,19,20
419,1,1,0,19,21
420,1,1,0,19,22
421,1,1,0,19,23
422,1,1,0,19,24
423,1,1,0,19,25
424,1,1,0,19,26
425,1,1,0,19,27
426,1,1,0,19,28
427,1,1,0,20,21
428,1,1,0,20,22
429,1,1,0,20,23
430,1,1,0,20,24
431,1,1,0,20,25
432,1,1,0,20,26
433,1,1,0,20,27
434,1,1,0,20,28
435,1,1,0,21,22
436,1,1,0,21,23
437,1,1,0,21,24
438,1,1,0,21,25
439,1,1,0,21,26
440,1,1,0,21,27
441,1,1,0,21,28
442,1,1,0,22,23
443,1,1,0,22,24
444,1,1,0,22,25
445,1,1,0,22,26
446,1,1,0,22,27
447,1,1,0,22,28
448,1,1,0,23,24
449,1,1,0,23,25
450,1,1,0,23,26
451,1,1,0,23,27
452,1,1,0,23,28
453,1,1,0,24,25
454,1,1,0,24,26
455,1,1,0,24,27
456,1,1,0,24,28
457,1,1,0,25,26
458,1,1,0,25,27
459,1,1,0,25,28
460,1,1,0,26,27
461,1,1,0,26,28
462,1,1,0,27,28
463,1,1,1,17,18
464,1,1,1,17,19
465,1,1,1,17,20
466,1,1,1,17,21
467,1,1,1,17,22
468,1,1,1,17,23
469,1,1,1,17,24
470,1,1,1,17,25
471,1,1,1,17,26
472,1,1,1,17,27
473,1,1,1,17,28
474,1,1,1,18,19
475,1,1,1,18,20
476,1,1,1,18,21
477,1,1,1,18,22
478,1,1,1,18,23
479,1,1,1,18,24
480,1,1,1,18,25
481,1,1,1,18,26
482,1,1,1,18,27
483,1,1,1,18,28
484,1,1,1,19,20
485,1,1,1,19,21
486,1,1,1,19,22
487,1,1,1,19,23
488,1,1,1,19,24
489,1,1,1,19,25
490,1,1,1,19,26
491,1,1,1,19,27
492,1,1,1,19,28
493,1,1,1,20,21
494,1,1,1,20,22
495,1,1,1,20,23
496,1,1,1,20,24
497,1,1,1,20,25
498,1,1,1,20,26
499,1,1,1,20,27
500,1,1,1,20,28
501,1,1,1,21,22
502,1,1,1,21,23
503,1,1,1,21,24
504,1,1,1,21,25
505,1,1,1,21,26
506,1,1,1,21,27
507,1,1,1,21,28
508,1,1,1,22,23
509,1,1,1,22,24
510,1,1,1,22,25
511,1,1,1,22,26
512,1,1,1,22,27
513,1,1,1,22,28
514,1,1,1,23,24
515,1,1,1,23,25
516,1,1,1,23,26
517,1,1,1,23,27
518,1,1,1,23,28
519,1,1,1,24,25
520,1,1,1,24,26
521,1,1,1,24,27
522,1,1,1,24,28
523,1,1,1,25,26
524,1,1,1,25,27
525,1,1,1,25,28
526,1,1,1,26,27
527,1,1,1,26,28
528,1,1,1,27,28
